customer_id,customer_name,demand_kg,available_days
C084,Khach_Hang_084,2.1,3 4 5
C085,Khach_Hang_085,1.0,1 2
C086,Khach_Hang_086,2.5,3 4 5
C087,Khach_Hang_087,3.8,2 4 6 7
C088,Khach_Hang_088,4.6,1 7
C089,Khach_Hang_089,3.7,3 4 6
C090,Khach_Hang_090,2.0,2 4 5 6 7
C091,Khach_Hang_091,2.4,2 3 4 5
C092,Khach_Hang_092,3.3,3 4 5 6 7
C093,Khach_Hang_093,1.9,1 4 6 7
C094,Khach_Hang_094,3.4,2 5 6 7
C095,Khach_Hang_095,2.8,4 5
C096,Khach_Hang_096,2.8,4 5
C097,Khach_Hang_097,3.5,2 6 7
C098,Khach_Hang_098,1.6,1 5
C099,Khach_Hang_099,3.3,1 3 4
C100,Khach_Hang_100,2.3,2 3 4 5 6 7
C101,Khach_Hang_101,4.0,3 4 5 6
C102,Khach_Hang_102,3.0,2 3
C103,Khach_Hang_103,3.5,2 3 6 7
C104,Khach_Hang_104,3.3,2 3 4 5 7
C105,Khach_Hang_105,2.5,5 6
C106,Khach_Hang_106,4.3,1 2 3 4 5 6
C107,Khach_Hang_107,3.3,1 2 5 6 7
C108,Khach_Hang_108,1.6,1 2 3 6 7
C109,Khach_Hang_109,2.2,4 6 7
C110,Khach_Hang_110,2.3,1 2 3 5 6 7
C111,Khach_Hang_111,4.2,4 7
C112,Khach_Hang_112,0.6,1 2 3 4 6 7
C113,Khach_Hang_113,1.8,4 5 7
C114,Khach_Hang_114,3.0,1 2 3 7
C115,Khach_Hang_115,2.5,1 3 4 5
C116,Khach_Hang_116,4.1,3 6
C117,Khach_Hang_117,2.9,1 2 5
C118,Khach_Hang_118,0.9,1 3 4 5 7
C119,Khach_Hang_119,2.0,1 2 5
C120,Khach_Hang_120,1.8,1 2 3 6 7
C121,Khach_Hang_121,0.7,3 4 6
C122,Khach_Hang_122,0.7,1 2 5
C123,Khach_Hang_123,3.3,1 2 5 6
C124,Khach_Hang_124,3.0,2 3 4
C125,Khach_Hang_125,1.3,1 3 5 6
C126,Khach_Hang_126,4.8,2 4 6 7
C127,Khach_Hang_127,3.1,2 3 5 6 7
C128,Khach_Hang_128,4.2,4 5
C129,Khach_Hang_129,4.3,1 3 4 5
C130,Khach_Hang_130,4.0,2 5
C131,Khach_Hang_131,0.8,2 3 5
C132,Khach_Hang_132,4.2,1 2 4 6 7
C133,Khach_Hang_133,3.7,1 2 3 4 7
C134,Khach_Hang_134,1.7,1 3 4
C135,Khach_Hang_135,4.2,1 2 3 4 5 6
C136,Khach_Hang_136,4.2,1 2 3 4 7
C137,Khach_Hang_137,3.2,2 3 4 5 6
C138,Khach_Hang_138,1.3,6 7
C139,Khach_Hang_139,1.8,1 3 6
C140,Khach_Hang_140,1.4,2 4 5 7
C141,Khach_Hang_141,3.9,2 3 4 5 6 7
C142,Khach_Hang_142,2.5,1 5 7
C143,Khach_Hang_143,3.6,1 4
C144,Khach_Hang_144,3.0,1 4 5 6
C145,Khach_Hang_145,2.5,5 6 7
C146,Khach_Hang_146,1.4,2 3 5 7
C147,Khach_Hang_147,1.3,2 4 5 6 7
C148,Khach_Hang_148,3.2,1 2 3 4 5 6
C149,Khach_Hang_149,4.2,1 4 7
C150,Khach_Hang_150,0.6,1 3 4 5
C151,Khach_Hang_151,3.0,1 2 3
C152,Khach_Hang_152,1.0,1 2 4
C153,Khach_Hang_153,2.5,5 6
C154,Khach_Hang_154,1.0,1 3
C155,Khach_Hang_155,3.3,1 4 5 6 7
C156,Khach_Hang_156,4.8,2 5
C157,Khach_Hang_157,3.2,1 2 3 4 6
C158,Khach_Hang_158,2.5,1 4
C159,Khach_Hang_159,3.3,2 5 6
C160,Khach_Hang_160,3.3,2 3 4 5 6 7
C161,Khach_Hang_161,1.3,2 3 4 5 6 7
C162,Khach_Hang_162,3.6,2 3
C163,Khach_Hang_163,3.7,2 4 5
C164,Khach_Hang_164,4.7,2 3 5 6 7
C165,Khach_Hang_165,2.4,1 2 3 4 6
C166,Khach_Hang_166,4.2,1 3 4 5
C167,Khach_Hang_167,3.2,1 3 4 5
C168,Khach_Hang_168,3.6,2 4
C169,Khach_Hang_169,0.9,1 2 6
C170,Khach_Hang_170,1.6,2 5
C171,Khach_Hang_171,4.8,1 3 5
C172,Khach_Hang_172,2.6,1 3 4 5 6
C173,Khach_Hang_173,3.4,1 3 4 5 7
C174,Khach_Hang_174,2.0,1 4 5
C175,Khach_Hang_175,1.8,1 2
C176,Khach_Hang_176,0.9,2 3 5 6
C177,Khach_Hang_177,4.4,2 3 6
C178,Khach_Hang_178,2.8,1 6 7
C179,Khach_Hang_179,3.9,1 2 6
C180,Khach_Hang_180,2.5,1 5
C181,Khach_Hang_181,3.2,2 5 6
C182,Khach_Hang_182,0.6,1 3 4 5 6 7
C183,Khach_Hang_183,2.6,2 5
C184,Khach_Hang_184,2.8,1 3 4 5 6 7
C185,Khach_Hang_185,3.0,1 2 3 6 7
C186,Khach_Hang_186,4.4,2 3 4
C187,Khach_Hang_187,2.0,1 2 4 5 6 7
C188,Khach_Hang_188,3.1,1 3 6 7
C189,Khach_Hang_189,2.0,1 2 3 5 7
C190,Khach_Hang_190,4.4,4 5 7
C191,Khach_Hang_191,4.4,1 3 4 6 7
C192,Khach_Hang_192,3.7,3 5
C193,Khach_Hang_193,1.2,1 3 4 5 7
C194,Khach_Hang_194,2.0,1 2 3 5
C195,Khach_Hang_195,0.6,2 3 5 6 7
C196,Khach_Hang_196,4.0,1 2 4 5 7
C197,Khach_Hang_197,3.4,1 2 3 4 7
C198,Khach_Hang_198,3.7,2 4 6 7
C199,Khach_Hang_199,1.6,2 3 4 6 7
C200,Khach_Hang_200,0.9,3 5 7
C201,Khach_Hang_201,4.6,2 3 4 7
C202,Khach_Hang_202,2.1,1 3 4 5 7
C203,Khach_Hang_203,3.0,2 5
C204,Khach_Hang_204,4.4,1 2 3 5
C205,Khach_Hang_205,1.1,1 3 4 7
C206,Khach_Hang_206,3.5,1 4 6 7
C207,Khach_Hang_207,0.8,1 3 4 5 6
C208,Khach_Hang_208,3.6,3 6 7
C209,Khach_Hang_209,4.3,1 5 6
C210,Khach_Hang_210,3.1,1 3 4 5 7
C211,Khach_Hang_211,2.3,2 3
C212,Khach_Hang_212,4.6,3 4 7
C213,Khach_Hang_213,1.5,2 4 5 6 7
C214,Khach_Hang_214,1.6,1 4
C215,Khach_Hang_215,3.3,1 2 4 6 7
C216,Khach_Hang_216,0.7,1 2 3 4 6 7
C217,Khach_Hang_217,2.0,2 3 4 5
C218,Khach_Hang_218,4.4,1 3 4
C219,Khach_Hang_219,4.2,4 5 7
C220,Khach_Hang_220,4.1,1 2 4 5 6
C221,Khach_Hang_221,4.4,1 3 4 5
C222,Khach_Hang_222,2.1,1 2 3 4 6
C223,Khach_Hang_223,2.5,1 2 3 4
C224,Khach_Hang_224,2.2,1 3 6 7
C225,Khach_Hang_225,2.6,2 4 5 6
C226,Khach_Hang_226,1.5,2 4 5 6 7
C227,Khach_Hang_227,2.3,2 4 5 6
C228,Khach_Hang_228,0.9,1 2 5
C229,Khach_Hang_229,3.5,2 4
C230,Khach_Hang_230,1.2,4 5 6 7
C231,Khach_Hang_231,3.3,2 3 7
C232,Khach_Hang_232,2.5,3 4 5
C233,Khach_Hang_233,2.2,1 5
C234,Khach_Hang_234,1.4,1 3 5 7
C235,Khach_Hang_235,3.4,1 2 3 4 5
C236,Khach_Hang_236,1.6,1 2 3 5
C237,Khach_Hang_237,1.4,1 3 4 6
C238,Khach_Hang_238,4.0,2 3
C239,Khach_Hang_239,4.9,1 3 4 5
C240,Khach_Hang_240,3.5,1 2 7
C241,Khach_Hang_241,3.1,1 3 4 5
C242,Khach_Hang_242,3.8,3 4 5
C243,Khach_Hang_243,2.5,1 4 5
C244,Khach_Hang_244,2.8,1 2 3 5 7
C245,Khach_Hang_245,2.8,2 3
C246,Khach_Hang_246,2.3,2 3 4 5 6 7
C247,Khach_Hang_247,0.8,1 3 5
C248,Khach_Hang_248,1.1,4 6
C249,Khach_Hang_249,2.0,1 4 5 6 7
C250,Khach_Hang_250,3.2,3 4 5
C251,Khach_Hang_251,3.4,1 4 7
C252,Khach_Hang_252,2.4,1 2 3 5 6 7
C253,Khach_Hang_253,1.9,2 4 6 7
C254,Khach_Hang_254,3.6,1 6 7
C255,Khach_Hang_255,0.9,1 2 4 5
C256,Khach_Hang_256,3.0,2 4 7
C257,Khach_Hang_257,1.1,1 3
C258,Khach_Hang_258,0.7,2 3 4 6 7
C259,Khach_Hang_259,3.1,2 4 6 7
C260,Khach_Hang_260,4.3,1 2 3 4
C261,Khach_Hang_261,3.1,1 5 7
C262,Khach_Hang_262,3.4,1 2 3 4 7
C263,Khach_Hang_263,1.3,1 2 3 6
C264,Khach_Hang_264,2.1,3 6 7
C265,Khach_Hang_265,0.8,1 3 4
C266,Khach_Hang_266,2.2,1 2 3 4 6 7
C267,Khach_Hang_267,3.7,1 4 7
C268,Khach_Hang_268,1.2,1 5
C269,Khach_Hang_269,2.5,2 3
C270,Khach_Hang_270,1.7,1 4
C271,Khach_Hang_271,1.8,2 3 4 5
C272,Khach_Hang_272,1.9,5 6
C273,Khach_Hang_273,4.8,1 3 7
C274,Khach_Hang_274,1.0,2 5 6
C275,Khach_Hang_275,2.2,3 4 6
C276,Khach_Hang_276,4.1,1 2 5
C277,Khach_Hang_277,4.6,1 2 7
C278,Khach_Hang_278,3.7,2 4
C279,Khach_Hang_279,4.8,2 3 5 7
C280,Khach_Hang_280,4.6,1 2 3 6
C281,Khach_Hang_281,2.9,3 4
C282,Khach_Hang_282,2.0,1 3 5 6
C283,Khach_Hang_283,2.9,1 3 4
C284,Khach_Hang_284,4.8,1 2 3 5 6 7
C285,Khach_Hang_285,1.7,3 4
C286,Khach_Hang_286,0.8,1 2 4 5 7
C287,Khach_Hang_287,3.9,2 3 4 5
C288,Khach_Hang_288,3.3,1 3 5
C289,Khach_Hang_289,2.6,1 4
C290,Khach_Hang_290,0.8,1 3 5 6 7
C291,Khach_Hang_291,0.7,1 2 4 5
C292,Khach_Hang_292,3.3,2 3 5 7
C293,Khach_Hang_293,4.8,2 3 4 5 7
C294,Khach_Hang_294,3.4,1 2 4 5
C295,Khach_Hang_295,4.8,2 5
C296,Khach_Hang_296,0.9,1 3 5
C297,Khach_Hang_297,2.5,1 3 4 5
C298,Khach_Hang_298,2.1,1 4 7
C299,Khach_Hang_299,3.6,1 3 6
C300,Khach_Hang_300,2.0,2 4 5
